Collect_dt,Sampling,Lat,Lon,geometry,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,sn_AS,sn_B,sn_CN,sn_BA,sn_FE,sn_HG,sn_MN,sn_CU,sn_NI,sn_ZN,vo_NH3_N,vo_Tot P,vo_TDS,vo_FEC_COL,vo_Cl,vo_F,vo_SO4,vo_As sol,vo_Ba tot,vo_Cu sol,vo_Fe sol,vo_Mn sol,vo_Ni sol,vo_Zn sol,vo_Hg LL,vo_Ca tot,vo_Mg tot,vo_Hardness,vo_B tot,vo_CN,HPI,year,month,HPI_Q_As_sol,HPI_Q_B_tot,HPI_Q_Ba_tot,HPI_Q_Fe_sol,HPI_Q_Hg_LL,HPI_Q_Mn_sol,HPI_Q_Cu_sol,HPI_Q_Ni_sol,HPI_Q_Zn_sol
2020-01-06,WW_109,41.82281111,-87.84154444,POINT (-87.84154444 41.82281111),11.97,8.0,4.665,0.3,1.0,0.676,762.0,8.0,4.0,5.5,0.005,540.0,3.7,253.402,0.234,75.835,218.0,0.002,0.035,0.00253,0.05911,0.02749,0.00436,0.01127,1.4990000000000002e-06,78.78,31.8,328.0,0.1201,0.36,40.1,0.022,5,1,1.2e-05,10.151373492595694,0.04348236385646713,0.22501960011267488,0.32690670403796435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.488408326588821,2020,1,0.5555555555555556,0.299501246882793,0.7000000000000001,5.9110000000000005,12.491666666666667,0.27080079380441396,5.81845092035794,1.93760898953549,3.447466772872052
2020-01-06,WW_109,41.82283333,-87.84156667,POINT (-87.84156667 41.82283333),11.97,8.0,4.665,0.3,1.0,0.676,762.0,8.0,4.0,5.5,0.005,540.0,3.7,253.402,0.234,75.835,218.0,0.002,0.035,0.00253,0.05911,0.02749,0.00436,0.01127,1.4990000000000002e-06,78.78,31.8,328.0,0.1201,0.36,40.1,0.022,5,1,1.2e-05,10.151373492595694,0.04348236385646713,0.22501960011267488,0.32690670403796435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.488408326588821,2020,1,0.5555555555555556,0.299501246882793,0.7000000000000001,5.9110000000000005,12.491666666666667,0.27080079380441396,5.81845092035794,1.93760898953549,3.447466772872052
2020-01-06,WW_22,41.82093333,-87.8109,POINT (-87.8109 41.82093333),12.34,8.1,3.066,0.3,1.0,0.255,536.0,15.0,4.0,4.5,0.005,480.0,6.5,148.12,0.178,50.898,220.0,0.001,0.03317,0.00169,0.06901,0.01352,0.00192,0.0067,1.955e-06,67.47,30.08,292.0,0.06985,0.36,40.1,0.022,5,1,1.2e-05,9.307288645912497,0.03897090873746219,0.2039411993975516,0.29623939303722246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.285806933470557,2020,1,0.2777777777777778,0.17418952618453865,0.6634,6.901,16.291666666666664,0.14526249818133244,4.336568108752945,0.9414478318612117,2.261684353086068
2020-01-06,WW_23,41.73564167,-87.88147778,POINT (-87.88147778 41.73564167),11.68,8.1,3.132,0.3,1.0,0.266,606.0,14.0,4.0,4.3,0.005,270.0,7.4,155.725,0.178,51.239,218.0,0.00104,0.03298,0.00177,0.07104,0.01467,0.00181,0.00774,1.846e-06,67.43,29.69,291.0,0.0693,0.36,40.1,0.022,5,1,1.2e-05,9.283477786018695,0.038845148365122664,0.20335017264486907,0.2953795664796352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.377955356776084,2020,1,0.28888888888888886,0.17281795511221945,0.6596,7.104000000000001,15.383333333333331,0.1580226757486686,4.556553583894159,0.8900902204597513,2.620357288842331
2020-01-06,WW_91,41.59656667,-88.06853333,POINT (-88.06853333 41.59656667),12.69,8.2,3.05,0.3,1.0,0.19,614.0,13.0,4.0,4.2,0.005,130.0,7.8,170.535,0.184,54.356,216.0,0.002,0.03367,0.0019,0.06217,0.01137,0.00171,0.007,1.92e-06,70.6,31.14,305.0,0.0778,0.36,40.1,0.022,5,1,1.2e-05,9.614982490832414,0.040603560564656596,0.21159662719800973,0.307376862340291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.994565860347068,2020,1,0.5555555555555556,0.1940149625935162,0.6734,6.2170000000000005,15.999999999999998,0.11825294545092453,4.679392579314476,0.8081414258081728,2.2773347176178915
2020-01-06,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),8.05,7.4,5.394,0.364,1.0,0.856,656.0,9.0,4.0,3.8,0.006,120.0,1.3,214.027,0.343,84.406,155.0,0.00126,0.02485,0.00154,0.05743,0.01987,0.00244,0.01244,1.1619999999999998e-06,61.47,22.89,248.0,0.14057,0.36,40.1,0.022,5,1,1.2e-05,8.238703581337987,0.03341251632706736,0.17762218114339395,0.25795433359320635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68032798981179,2020,1,0.35000000000000003,0.3505486284289277,0.497,5.743,9.683333333333332,0.24117872191698708,4.6090512457227035,1.373702306937777,4.822559026908175
2020-01-13,WW_112,42.04098056,-87.70971944,POINT (-87.70971944 42.04098056),11.0,7.7,0.621,0.3,1.0,0.15,434.0,9.0,4.0,2.3,0.005,150.0,3.7,132.825,0.113,52.732,141.0,0.002,0.02672,0.00216,0.04586,0.0078,0.00118,0.01045,1.764e-06,50.59,17.89,200.0,0.04196,0.36,40.1,0.022,5,1,1.2e-05,7.016182958277888,0.027282695267995333,0.14806842373043963,0.21497434506501417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.694687807041321,2020,1,0.5555555555555556,0.10463840399002493,0.5344,4.585999999999999,14.7,0.11117155932767321,7.9171063517827855,0.7969288591524446,4.861045161849257
2020-01-13,WW_36,42.01193611,-87.71043611,POINT (-87.71043611 42.01193611),10.41,7.3,5.629,0.3,1.088,0.511,1112.0,8.0,5.0,2.5,0.007,7700.0,1.0,473.318,0.357,55.688,209.0,0.002,0.03864,0.00327,0.03326,0.00439,0.00235,0.0225,9.11e-07,77.62,28.34,311.0,0.13909,0.36,40.1,0.022,5,1,1.2e-05,9.755869676228563,0.041355725959946785,0.21511285578387743,0.3124926427008869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.591067295827444,2020,1,0.5555555555555556,0.34685785536159597,0.7727999999999999,3.3259999999999996,7.591666666666667,0.04499855108455171,7.907006645626317,1.0924498173001016,7.200169516162545
2020-01-13,WW_96,41.97428333,-87.70614444,POINT (-87.70614444 41.97428333),12.37,8.0,1.197,0.3,1.0,0.15,726.0,31.0,6.0,3.4,0.005,860.0,8.0,285.84,0.1,45.835,196.0,0.002,0.03533,0.00236,0.06632,0.01574,0.00112,0.00569,8.09e-06,63.55,26.43,268.0,0.05905,0.36,40.1,0.022,5,1,1.2e-05,8.729915868662115,0.03594557318646018,0.18966758415924967,0.2754752146682992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.38606168451088,2020,1,0.5555555555555556,0.1472568578553616,0.7066,6.632000000000001,67.41666666666667,0.18029956115043524,6.565481617883769,0.5905068095661616,2.065521577631349
2020-01-13,WW_73,41.93235833,-87.68288333,POINT (-87.68288333 41.93235833),10.59,7.5,4.007,0.537,1.239,0.405,1166.0,15.0,4.0,2.6,0.008,10000.0,4.8,532.411,0.217,50.872,209.0,0.002,0.03911,0.00293,0.06209,0.01601,0.00175,0.01379,2.57e-06,71.73,27.6,293.0,0.09014,0.36,40.1,0.022,5,1,1.2e-05,9.331078859611523,0.039096644218552606,0.2045319145258702,0.2970987700692374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.409551740870427,2020,1,0.5555555555555556,0.224788029925187,0.7822,6.209,21.416666666666668,0.17157715887813788,7.494249336646702,0.8556121933619566,4.641554051801126
